name,rating,address,hours_today,website,phone,latitude,longitude,link,is_relevant,from_,destination
Arnes Shuttle Bandung,"3,5","Baltos, Balubur Town Square, Jl. Tamansari No.2, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",05.30–21.00,http://arnes.id/,0813-1355-5008,-6.8984612,107.6087059,https://www.google.com/maps/place/Arnes+Shuttle+Bandung/data=!4m7!3m6!1s0x2e68e6456595e087:0xea20344b475291ab!8m2!3d-6.8984612!4d107.6087059!16s%2Fg%2F11bc7mp8xn!19sChIJh-CVZUXmaC4Rq5FSR0s0IOo?authuser=0&hl=id&rclk=1,True,Bandung,"Bekasi, Jatinangor, Jakarta, Cianjur, Purwakarta, Sukabumi, Cikopo"
BTM TRAVEL BUAH BATU,"5,0","Jl. Terusan Buah Batu No.293, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",,http://www.btmshuttle.id/,0819-9809-2000,-6.9637946,107.638312,https://www.google.com/maps/place/BTM+TRAVEL+BUAH+BATU/data=!4m7!3m6!1s0x2e68e84c661d319b:0x7875ec1eb7243d3c!8m2!3d-6.9637946!4d107.638312!16s%2Fg%2F11s5ltmfh1!19sChIJmzEdZkzoaC4RPD0ktx7sdXg?authuser=0&hl=id&rclk=1,True,Bandung,"Serang, Cilegon, Rangkasbitung, Pandeglang"
Baraya Surapati 2,"4,3","Jl. Surapati No.123, Sukaluyu, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40123",04.00–21.00,https://baraya-travel.com/,,-6.8992874,107.626793,https://www.google.com/maps/place/Baraya+Surapati+2/data=!4m7!3m6!1s0x2e68e79bfa1f7c13:0x6f6b8cf218b605ae!8m2!3d-6.8992874!4d107.626793!16s%2Fg%2F11h3df35hb!19sChIJE3wf-pvnaC4RrgW2GPKMa28?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Depok, Cibubur, Cinere, Ciledug, BSD"
Baraya Tour,"5,0","Gedung Lathifiyah, Jl. Cigadung Raya Timur No.137A, Cigadung, Cibeunying Kaler, Bandung City, West Java 40191",09.00–17.00,,0811-2208-780,-6.8835049,107.6327347,https://www.google.com/maps/place/Baraya+Tour/data=!4m7!3m6!1s0x2e68e7afb1d64db1:0x777f10ef267a0761!8m2!3d-6.8835049!4d107.6327347!16s%2Fg%2F11cjk23cd2!19sChIJsU3Wsa_naC4RYQd6Ju8Qf3c?authuser=0&hl=id&rclk=1,True,Bandung,
Baraya Travel Buah Batu,"4,2","Jl. Soekarno-Hatta No.482, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",05.00–22.00,http://www.baraya-travel.com/,(022) 2533456,-6.9486263,107.6331385,https://www.google.com/maps/place/Baraya+Travel+Buah+Batu/data=!4m7!3m6!1s0x2e68e85d53b77a61:0x439bba141d396244!8m2!3d-6.9486263!4d107.6331385!16s%2Fg%2F11c1qycrbh!19sChIJYXq3U13oaC4RRGI5HRS6m0M?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Depok, Cibubur, Cinere, Ciledug, BSD, Jatiwaringin"
Baraya Travel Pasteur 2,"4,4","Jl. Dr. Djundjunan No.155, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Buka 24 jam,https://wa.me/message/VR2BD5TPWM6DJ1,0821-1696-8067,-6.8926723,107.5832404,https://www.google.com/maps/place/Baraya+Travel+Pasteur+2/data=!4m7!3m6!1s0x2e68e666067e2329:0x2cf84895d2361c27!8m2!3d-6.8926723!4d107.5832404!16s%2Fg%2F11c0xrc8p8!19sChIJKSN-BmbmaC4RJxw20pVI-Cw?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Depok, Cibubur, Cinere, Ciledug, BSD"
Baraya Travel Soreang,"4,5","Jl. Raya Soreang - Banjaran No.323, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911",05.15–20.15,https://baraya-travel.com/contact,,-7.03052,107.531675,https://www.google.com/maps/place/Baraya+Travel+Soreang/data=!4m7!3m6!1s0x2e68ed8b98d4c363:0x8d5a633c33f9f303!8m2!3d-7.03052!4d107.531675!16s%2Fg%2F11sdxk8r73!19sChIJY8PUmIvtaC4RA_P5MzxjWo0?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Depok, Cibubur, Cinere, Ciledug, BSD"
Baraya Travel Surapati 1,"4,4","Jl. Surapati No.42, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",05.00–21.00,http://www.baraya-travel.com/,(021) 7244999,-6.8991701,107.6271566,https://www.google.com/maps/place/Baraya+Travel+Surapati+1/data=!4m7!3m6!1s0x2e68e7b2552e7735:0x17781f9db788e4df!8m2!3d-6.8991701!4d107.6271566!16s%2Fg%2F11hd1tgdry!19sChIJNXcuVbLnaC4R3-SIt50feBc?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Depok, Cibubur, Cinere, Ciledug, BSD"
Baraya Travel dan Paket Antapani,"4,3","Jl. Terusan Jakarta No.130, Antapani Kulon, Kec. Antapani, Kota Bandung, Jawa Barat 40291",08.00–20.00,https://baraya-travel.com/,0851-5090-9153,-6.913027,107.657748,https://www.google.com/maps/place/Baraya+Travel+dan+Paket+Antapani/data=!4m7!3m6!1s0x2e68e70c23aae977:0xef6124b3965fa727!8m2!3d-6.913027!4d107.657748!16s%2Fg%2F11y6khvblf!19sChIJd-mqIwznaC4RJ6dflrMkYe8?authuser=0&hl=id&rclk=1,True,Bandung,"Jakarta, Bekasi, Bogor, Depok, Cibubur, Cinere, Ciledug, BSD"
Bhinneka Shuttle Mekar Wangi,"4,4","Jl. Soekarno-Hatta No.385, Karasak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243",05.00–21.00,https://bhisa.id/,0813-2239-7700,-6.947877,107.604135,https://www.google.com/maps/place/Bhinneka+Shuttle+Mekar+Wangi/data=!4m7!3m6!1s0x2e68e65e4930d913:0x44fda171ad6a0344!8m2!3d-6.947877!4d107.604135!16s%2Fg%2F1hm5m4qnn!19sChIJE9kwSV7maC4RRANqrXGh_UQ?authuser=0&hl=id&rclk=1,True,Bandung,
Bhisa.id Bhinneka Shuttle Bandung Pasteur Square,"3,5","Jl. Dr. Djundjunan No.135, Pasteur, Kec. Cicendo, Kota Bandung, Jawa Barat 40111",Buka 24 jam,https://bhisa.id/,0813-2239-7700,-6.8938485,107.5864525,https://www.google.com/maps/place/Bhisa.id+Bhinneka+Shuttle+Bandung+Pasteur+Square/data=!4m7!3m6!1s0x2e68e6f3375f30a1:0xeef040a132f4051e!8m2!3d-6.8938485!4d107.5864525!16s%2Fg%2F1hm5syzbt!19sChIJoTBfN_PmaC4RHgX0MqFA8O4?authuser=0&hl=id&rclk=1,True,Bandung,
Bhisa.id Bhinneka Shuttle Buah Batu,"4,1","Jl. Terusan Buah Batu No.227, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–21.00,https://bhisa.id/shuttle,(021) 50980345,-6.9604969,107.6392333,https://www.google.com/maps/place/Bhisa.id+Bhinneka+Shuttle+Buah+Batu/data=!4m7!3m6!1s0x2e68e846821369d7:0x88bcfd5cde1c971f!8m2!3d-6.9604969!4d107.6392333!16s%2Fg%2F11dzwbdyrb!19sChIJ12kTgkboaC4RH5cc3lz9vIg?authuser=0&hl=id&rclk=1,True,Bandung,
Bhisa.id Bhinneka Shuttle Dipatiukur,"4,3","Jl. Dipati Ukur No.108, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,https://bhisa.id/shuttle,(021) 50980345,-6.8851229,107.6140593,https://www.google.com/maps/place/Bhisa.id+Bhinneka+Shuttle+Dipatiukur/data=!4m7!3m6!1s0x2e68e7447d5175a1:0x266034280c81c75c!8m2!3d-6.8851229!4d107.6140593!16s%2Fg%2F11qyw7rs4x!19sChIJoXVRfUTnaC4RXMeBDCg0YCY?authuser=0&hl=id&rclk=1,True,Bandung,
Bimex Tour,"5,0","Jl. Dipati Ukur No.23, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",09.30–15.30,http://www.bimextour.co.id/,0811-2233-523,-6.8959508,107.6162226,https://www.google.com/maps/place/Bimex+Tour/data=!4m7!3m6!1s0x2e68e6546deddd21:0xa6cf74330c8b0013!8m2!3d-6.8959508!4d107.6162226!16s%2Fg%2F1pzq003l7!19sChIJId3tbVTmaC4REwCLDDN0z6Y?authuser=0&hl=id&rclk=1,True,Bandung,
Bina Sarana Shuttle Nindya Biodistric Hotel,"4,5","Jl. Khp Hasan Mustopa No.57, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40124",05.00–21.00,https://binasarana.co.id/,0851-5627-2754,-6.8995318,107.6429852,https://www.google.com/maps/place/Bina+Sarana+Shuttle+Nindya+Biodistric+Hotel/data=!4m7!3m6!1s0x2e68e7ac8d7d3343:0x2368de525a83121c!8m2!3d-6.8995318!4d107.6429852!16s%2Fg%2F11rqg4j_sd!19sChIJQzN9jaznaC4RHBKDWlLeaCM?authuser=0&hl=id&rclk=1,True,Bandung,
Bus Malam Kramat Djati,"5,0","Jl. Ir. H. Juanda No.105, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",,,(022) 2502317,-6.8932572,107.6128146,https://www.google.com/maps/place/Bus+Malam+Kramat+Djati/data=!4m7!3m6!1s0x2e68e65120495e1b:0x30976c1f1d20e2c2!8m2!3d-6.8932572!4d107.6128146!16s%2Fg%2F1hm5cd9f7!19sChIJG15JIFHmaC4RwuIgHR9slzA?authuser=0&hl=id&rclk=1,True,Bandung,
Bus Mewah AMTrans Luxurious,"1,0","Jl. Sukabirus No.3, Citeureup, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40257",08.00–21.00,http://www.amtransluxurious.com/,(022) 21226999,-6.9840647,107.6289891,https://www.google.com/maps/place/Bus+Mewah+AMTrans+Luxurious/data=!4m7!3m6!1s0x2e68e87c4d2cb853:0x4169f2c6b2bdbad7!8m2!3d-6.9840647!4d107.6289891!16s%2Fg%2F1yj4k3df3!19sChIJU7gsTXzoaC4R17q9ssbyaUE?authuser=0&hl=id&rclk=1,True,Bandung,
Bus primajasa,"5,0","3H9C+VQP, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat",,,,-6.9302961,107.5719663,https://www.google.com/maps/place/Bus+primajasa/data=!4m7!3m6!1s0x2e68ef289679ad59:0x319da77cc427dedc!8m2!3d-6.9302961!4d107.5719663!16s%2Fg%2F11sv72213k!19sChIJWa15lijvaC4R3N4nxHynnTE?authuser=0&hl=id&rclk=1,True,Bandung,
CITY TOUR,"5,0","Alun alun bandung taman Jl. Cikapundung Barat, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40562",06.30–10.00,,0812-2426-1478,-6.9201453,107.6088192,https://www.google.com/maps/place/CITY+TOUR/data=!4m7!3m6!1s0x2e68fb4607c11887:0xe30ccfd5955cbf19!8m2!3d-6.9201453!4d107.6088192!16s%2Fg%2F11j23pw0gv!19sChIJhxjBB0b7aC4RGb9cldXPDOM?authuser=0&hl=id&rclk=1,True,Bandung,
Check Point Primajasa,"3,7","Jl. Raya Bandung - Garut No.28, Panenjoan, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395",,,,-6.9688665,107.8337397,https://www.google.com/maps/place/Check+Point+Primajasa/data=!4m7!3m6!1s0x2e68c5a28ed3915d:0xd62b112625cc9b33!8m2!3d-6.9688665!4d107.8337397!16s%2Fg%2F11h0vtlsy4!19sChIJXZHTjqLFaC4RM5vMJSYRK9Y?authuser=0&hl=id&rclk=1,True,Bandung,
Checkpoint DAMRI,"3,0","XVMJ+M46, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215",,,,-7.0158259,107.8802517,https://www.google.com/maps/place/Checkpoint+DAMRI/data=!4m7!3m6!1s0x2e68c963a0245d7f:0x72abfb3387c98e48!8m2!3d-7.0158259!4d107.8802517!16s%2Fg%2F11qqhxv784!19sChIJf10koGPJaC4RSI7JhzP7q3I?authuser=0&hl=id&rclk=1,True,Bandung,
Cheria Halal Holiday Bandung,"5,0","Jl. Rajamantri Kidul No.B.9, Turangga, Kec. Buahbatu, Kota Bandung, Jawa Barat 40236",09.00–17.00,,0819-3412-1791,-6.9443373,107.6304541,https://www.google.com/maps/place/Cheria+Halal+Holiday+Bandung/data=!4m7!3m6!1s0x2e68e98d6a6395a5:0x9416d2c0be5f60cb!8m2!3d-6.9443373!4d107.6304541!16s%2Fg%2F11t7x40x7r!19sChIJpZVjao3paC4Ry2BfvsDSFpQ?authuser=0&hl=id&rclk=1,True,Bandung,
Cipto travel,"5,0","2J6H+C2G, Dayeuhkolot, Kec. Dayeuhkolot, Kabupaten Bandung, Jawa Barat 40258",,,,-6.988905,107.6276233,https://www.google.com/maps/place/Cipto+travel/data=!4m7!3m6!1s0x2e68e99f57bb6cd3:0x26f465b32e20370!8m2!3d-6.988905!4d107.6276233!16s%2Fg%2F11kqq5z3ls!19sChIJ02y7V5_paC4RcAPiMltGbwI?authuser=0&hl=id&rclk=1,True,Bandung,
Citeureup sukamena,"5,0","Jl. Raya Bojongsoang No.1, Citeureup, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40257",,,,-6.9838797,107.6302487,https://www.google.com/maps/place/Citeureup+sukamena/data=!4m7!3m6!1s0x2e68e975f2fbfd6b:0x7a520065755485ce!8m2!3d-6.9838797!4d107.6302487!16s%2Fg%2F11scbm9t4d!19sChIJa_378nXpaC4RzoVUdWUAUno?authuser=0&hl=id&rclk=1,True,Bandung,
"CitiTrans travel , Taksi Blue Bird / Big Bird","4,5","Jl. Cihampelas No.156, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",Buka 24 jam,,(022) 7538055,-6.8950926,107.6041713,"https://www.google.com/maps/place/CitiTrans+travel+,+Taksi+Blue+Bird+%2F+Big+Bird/data=!4m7!3m6!1s0x2e68e72f9a0692ff:0xf0ee35f55b3f0c6e!8m2!3d-6.8950926!4d107.6041713!16s%2Fg%2F11q23f8prw!19sChIJ_5IGmi_naC4Rbgw_W_U17vA?authuser=0&hl=id&rclk=1",True,Bandung,
Cititrans Ciwalk,"3,2","Jl. Cihampelas Walk No.1, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",,http://www.cititrans.co.id/,0857-7389-3987,-6.8950224,107.6044311,https://www.google.com/maps/place/Cititrans+Ciwalk/data=!4m7!3m6!1s0x2e68e79e175a8c3b:0xfe8ccda0521e3b17!8m2!3d-6.8950224!4d107.6044311!16s%2Fg%2F11s5txbvzb!19sChIJO4xaF57naC4RFzseUqDNjP4?authuser=0&hl=id&rclk=1,True,Bandung,
Cititrans • Bandung (Suci),"3,0","Jl. Khp Hasan Mustopa No.119-125, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125",Buka 24 jam,https://www.cititrans.co.id/,(021) 79171717,-6.9011907,107.6471091,https://www.google.com/maps/place/Cititrans+%E2%80%A2+Bandung+%28Suci%29/data=!4m7!3m6!1s0x2e68e74714d46f01:0xe122ef0866d75ce7!8m2!3d-6.9011907!4d107.6471091!16s%2Fg%2F11w8y8rh83!19sChIJAW_UFEfnaC4R51zXZgjvIuE?authuser=0&hl=id&rclk=1,True,Bandung,
Cititrans • Dipati Ukur (Bandung),"4,4","Jl. Dipati Ukur No.53, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,http://www.cititrans.co.id/,(021) 79171717,-6.8909783,107.6167791,https://www.google.com/maps/place/Cititrans+%E2%80%A2+Dipati+Ukur+%28Bandung%29/data=!4m7!3m6!1s0x2e68e65415bc0137:0xda70298083dcdc53!8m2!3d-6.8909783!4d107.6167791!16s%2Fg%2F1tdjlqtc!19sChIJNwG8FVTmaC4RU9zcg4ApcNo?authuser=0&hl=id&rclk=1,True,Bandung,
Cititrans • Trsn. Pasteur (Bandung),"4,2","Jl. DR. Djunjunan Dalam No.153, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Buka 24 jam,http://www.cititrans.co.id/,(021) 79171717,-6.8926907,107.5835337,https://www.google.com/maps/place/Cititrans+%E2%80%A2+Trsn.+Pasteur+%28Bandung%29/data=!4m7!3m6!1s0x2e68e664acfa3ef7:0x20302cf586aaca6c!8m2!3d-6.8926907!4d107.5835337!16s%2Fm%2F0j2b070!19sChIJ9z76rGTmaC4RbMqqhvUsMCA?authuser=0&hl=id&rclk=1,True,Bandung,
City Trans Utama Bandung,"4,4","Jl. Soekarno-Hatta No.481, Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat 40265",08.30–16.00,,0812-8008-6838,-6.9488513,107.6227378,https://www.google.com/maps/place/City+Trans+Utama+Bandung/data=!4m7!3m6!1s0x2e68e91483fab235:0x15ba99c35be603ab!8m2!3d-6.9488513!4d107.6227378!16s%2Fg%2F11gnq93z6m!19sChIJNbL6gxTpaC4RqwPmW8OZuhU?authuser=0&hl=id&rclk=1,True,Bandung,
Counter Shuttle Primajasa Shuttle,"3,6","Jl. Dr. Djundjunan No.47, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",,,0821-2345-4514,-6.8975331,107.5921957,https://www.google.com/maps/place/Counter+Shuttle+Primajasa+Shuttle/data=!4m7!3m6!1s0x2e68e7990a4da965:0xab1ddc6f8c9b024!8m2!3d-6.8975331!4d107.5921957!16s%2Fg%2F11fwc1dvht!19sChIJZalNCpnnaC4RJLDJ-MbdsQo?authuser=0&hl=id&rclk=1,True,Bandung,
Damri Cabang Bandung Pool III,"4,2","Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat",,,,-6.9126517,107.6010322,https://www.google.com/maps/place/Damri+Cabang+Bandung+Pool+III/data=!4m7!3m6!1s0x2e68e63e86fb0de1:0xa7e79ecbfdb3b704!8m2!3d-6.9126517!4d107.6010322!16s%2Fg%2F11t_sh332y!19sChIJ4Q37hj7maC4RBLez_cue56c?authuser=0&hl=id&rclk=1,True,Bandung,
Damri sudirman,"2,9","3HMC+MVV, Jl. Jend. Sudirman, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat",,,,-6.9157602,107.5721725,https://www.google.com/maps/place/Damri+sudirman/data=!4m7!3m6!1s0x2e68e50054b72e29:0xe79f08d068d8c9c2!8m2!3d-6.9157602!4d107.5721725!16s%2Fg%2F11lv7h42vl!19sChIJKS63VADlaC4RwsnYaNAIn-c?authuser=0&hl=id&rclk=1,True,Bandung,
Day Trans Pasteur,"4,2","Jl. Dr. Djundjunan No.55B, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Buka 24 jam,http://www.daytrans.co.id/,,-6.8972354,107.591737,https://www.google.com/maps/place/Day+Trans+Pasteur/data=!4m7!3m6!1s0x2e68e665e33e180d:0x4de8e7bddc261699!8m2!3d-6.8972354!4d107.591737!16s%2Fg%2F1pzv3kjks!19sChIJDRg-42XmaC4RmRYm3L3n6E0?authuser=0&hl=id&rclk=1,True,Bandung,
DayTrans Travel Dipatiukur,"4,5","Jl. Dipati Ukur No.107, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",05.00–21.30,http://daytrans.co.id/,0815-1102-6767,-6.8856591,107.6142975,https://www.google.com/maps/place/DayTrans+Travel+Dipatiukur/data=!4m7!3m6!1s0x2e68e6567515eaf3:0xdc9dec1f44b77398!8m2!3d-6.8856591!4d107.6142975!16s%2Fg%2F11b6df9w__!19sChIJ8-oVdVbmaC4RmHO3RB_sndw?authuser=0&hl=id&rclk=1,True,Bandung,
Daytrans Buah Batu,"4,0","Jl. Terusan Buah Batu No.298, Kujangsari, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40287",05.00–21.00,http://www.daytrans.co.id/,0815-8511-6767,-6.9638416,107.6380845,https://www.google.com/maps/place/Daytrans+Buah+Batu/data=!4m7!3m6!1s0x2e68e9cbdad38599:0xeb3a666409e5b60b!8m2!3d-6.9638416!4d107.6380845!16s%2Fg%2F11k9pmgfk_!19sChIJmYXT2svpaC4RC7blCWRmOus?authuser=0&hl=id&rclk=1,True,Bandung,
Daytrans Cihampelas,"4,4","Jl. Cihampelas No.64c, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",05.00–20.30,http://www.daytrans.co.id/,0855-8556-767,-6.9018538,107.6045129,https://www.google.com/maps/place/Daytrans+Cihampelas/data=!4m7!3m6!1s0x2e68e6593a1a1acd:0x4603ebf78b7e2000!8m2!3d-6.9018538!4d107.6045129!16s%2Fg%2F1pzq5r7lv!19sChIJzRoaOlnmaC4RACB-i_frA0Y?authuser=0&hl=id&rclk=1,True,Bandung,
Dunia Jalanjalan,"4,9","Jl. Cipedes Tengah No.57, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 12160",11.00–21.00,http://www.duniajalanjalan.com/,0856-1873-345,-6.8845269,107.590483,https://www.google.com/maps/place/Dunia+Jalanjalan/data=!4m7!3m6!1s0x2e69f1694c8c8075:0x10639753b4990c78!8m2!3d-6.8845269!4d107.590483!16s%2Fg%2F1tl5_h1p!19sChIJdYCMTGnxaS4ReAyZtFOXYxA?authuser=0&hl=id&rclk=1,True,Bandung,
